epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,826.779,1.16519,0.56034,0.27016,0.74412,0.464,0.5119,0.24538,0.80949,0.42253,0.14019,0.0033323,0.0033323,0.0033323
2,1601.9,1.0592,0.40123,0.15423,0.76984,0.42629,0.48434,0.22823,0.81943,0.43462,0.14107,0.00664363,0.00664363,0.00664363
3,2369.76,1.17578,0.38973,0.17441,0.74021,0.33591,0.38039,0.15933,0.97573,0.40242,0.17099,0.00993297,0.00993297,0.00993297
4,3137.05,1.15197,0.40687,0.17525,0.69811,0.32468,0.37545,0.15256,0.95648,0.44925,0.16658,0.009901,0.009901,0.009901
5,3905.92,1.09261,0.42276,0.15825,0.53937,0.28284,0.3092,0.12519,1.00611,0.43252,0.14481,0.009868,0.009868,0.009868
6,4656.32,1.03787,0.43229,0.14772,0.71529,0.40635,0.46094,0.20852,0.81246,0.4632,0.12606,0.009835,0.009835,0.009835
7,5403.07,1.01553,0.43486,0.13922,0.6831,0.42338,0.46694,0.2011,0.85057,0.44262,0.1284,0.009802,0.009802,0.009802
8,6159.91,1.02009,0.43432,0.13949,0.75838,0.42131,0.47225,0.21582,0.81656,0.42478,0.12864,0.009769,0.009769,0.009769
9,6935.65,1.02956,0.43569,0.14121,0.63865,0.40447,0.45465,0.22157,0.78061,0.48514,0.12189,0.009736,0.009736,0.009736
10,7711.99,1.00545,0.44444,0.13515,0.64338,0.4012,0.43997,0.17844,0.84519,0.4847,0.12527,0.009703,0.009703,0.009703
11,8488.52,1.0055,0.44109,0.13273,0.68222,0.38688,0.43619,0.19492,0.82924,0.45149,0.12085,0.00967,0.00967,0.00967
12,9252.25,0.9827,0.4424,0.13026,0.71234,0.43567,0.48654,0.24078,0.75968,0.46212,0.12016,0.009637,0.009637,0.009637
13,10016.5,0.97939,0.44464,0.13008,0.76439,0.46755,0.5256,0.2515,0.73819,0.46924,0.1134,0.009604,0.009604,0.009604
14,10788.1,0.97111,0.44964,0.12542,0.67402,0.44682,0.4884,0.22404,0.76613,0.48928,0.11924,0.009571,0.009571,0.009571
15,11558.4,0.983,0.44829,0.13019,0.74347,0.45176,0.51425,0.25262,0.73205,0.46098,0.11375,0.009538,0.009538,0.009538
16,12314.6,0.94118,0.4463,0.12297,0.70873,0.43476,0.49028,0.22917,0.76139,0.46449,0.11129,0.009505,0.009505,0.009505
